user_id,total_interactions,unique_exercises,accuracy,hint_rate,active_days
337,51,12,0.7451,0.0784,13.0
338,203,22,0.8867,0.0443,98.0
341,196,18,0.9337,0.0,0.2
345,447,18,0.7718,0.0157,84.0
346,48,9,0.9375,0.0,0.0
347,2691,85,0.9517,0.0152,467.7
348,84,15,0.9405,0.0595,0.0
351,34,3,0.8824,0.0294,0.0
353,134,20,0.806,0.1194,78.9
356,1271,75,0.8238,0.0677,170.5
360,216,5,0.8194,0.1065,20.2
363,292,27,0.6678,0.2466,31.0
371,50,11,0.9,0.02,26.4
376,155,20,0.8774,0.071,225.8
381,147,19,0.898,0.0408,37.0
388,142,17,0.9507,0.0141,5.6
390,420,44,0.9071,0.0071,11.3
392,96,8,0.9375,0.0104,7.0
395,127,19,0.8661,0.0472,0.1
399,346,33,0.8584,0.052,169.1
402,557,36,0.6768,0.1903,293.9
403,83,5,0.8434,0.1205,181.0
410,484,55,0.9731,0.0041,92.3
411,42,3,0.7619,0.1429,0.0
412,712,60,0.8778,0.0351,135.0
414,757,76,0.9604,0.0066,89.6
415,41,7,0.9512,0.0244,0.0
419,660,38,0.8379,0.0848,56.0
420,52,7,0.8654,0.0192,14.0
424,365,29,0.8329,0.0356,306.1
425,349,22,0.8768,0.0086,145.2
426,40,4,0.85,0.0,0.0
428,49,5,0.7143,0.0612,0.0
430,389,25,0.874,0.0257,35.5
434,145,17,0.8897,0.0483,7.7
435,49,15,0.8776,0.0,322.1
436,517,57,0.9168,0.0135,119.0
437,695,91,0.9137,0.0245,17.2
438,252,45,0.8611,0.0357,0.9
439,37,6,0.8378,0.1351,0.0
441,30,2,0.4667,0.4667,0.0
443,65,10,0.9077,0.0462,33.3
445,358,33,0.9246,0.0056,108.1
448,128,14,1.0,0.0,77.0
450,214,31,0.8785,0.0093,253.0
461,68,3,0.7206,0.0588,0.0
463,170,34,0.7647,0.1,15.7
464,427,41,0.897,0.0398,72.9
466,41,7,1.0,0.0,0.0
468,80,16,0.925,0.0125,0.0
470,32,4,0.9062,0.0312,0.0
471,464,48,0.8534,0.0647,109.1
479,67,7,0.8209,0.1343,42.0
489,124,12,0.9274,0.0081,0.0
492,3512,115,0.8687,0.0538,211.9
498,385,29,0.9091,0.0052,35.0
502,84,17,0.8929,0.0595,85.0
505,287,32,0.5331,0.3101,42.0
506,299,32,0.903,0.0268,97.0
507,40,2,0.95,0.0,0.0
513,78,10,0.9615,0.0,0.0
516,35,2,0.8857,0.0,0.0
518,120,7,0.8917,0.0,0.0
523,47,7,0.7447,0.0426,7.0
525,169,19,0.8343,0.0828,175.4
526,38,8,0.6842,0.0,0.0
527,105,8,0.8381,0.0952,0.0
533,116,22,0.8534,0.0776,1.7
537,64,9,0.7188,0.1875,35.0
540,52,14,0.9423,0.0,6.4
543,50,6,0.46,0.16,11.0
544,30,5,0.9667,0.0333,2.2
549,89,11,0.8876,0.0112,57.0
552,407,34,0.8649,0.0541,56.0
555,30,7,0.6,0.3,0.0
557,30,4,0.9,0.0,0.0
560,615,55,0.9138,0.0,119.1
561,381,18,0.8136,0.0026,56.0
577,67,2,0.7612,0.0,0.0
578,36,5,0.9722,0.0,0.0
579,187,31,0.8449,0.107,211.1
581,64,18,0.7969,0.0312,0.0
585,32,7,1.0,0.0,3.1
587,60,12,0.9333,0.0,7.0
589,62,15,0.8871,0.0,3.9
593,1243,80,0.8391,0.0354,191.2
595,3384,135,0.8454,0.0455,53.1
596,138,20,0.7536,0.1014,97.0
600,193,29,0.8394,0.0881,42.0
601,78,13,0.7179,0.0,35.1
603,74,10,1.0,0.0,0.0
605,140,11,0.75,0.1071,14.3
612,34,8,0.8824,0.0882,0.0
615,318,29,0.8491,0.0535,49.0
626,65,10,0.9077,0.0615,7.0
627,188,18,0.6064,0.2287,85.2
630,699,61,0.8841,0.0443,49.0
631,33,12,0.5758,0.0303,2.0
632,47,19,0.8723,0.0426,40.9
633,136,15,0.9191,0.0074,34.0
634,66,5,0.803,0.1364,0.0
636,32,4,0.9688,0.0,0.0
640,35,4,0.7429,0.1429,14.0
645,56,7,0.8214,0.0893,0.0
648,107,21,0.8224,0.0,4.5
651,377,51,0.8806,0.0451,96.3
655,515,64,0.9087,0.0078,14.0
660,179,11,0.7877,0.1006,11.9
663,1138,34,0.9464,0.0246,61.4
666,1588,145,0.869,0.034,3.1
667,143,19,0.8741,0.014,120.0
672,701,73,0.7076,0.1241,122.9
674,69,12,0.7536,0.2174,60.5
680,157,13,0.9236,0.0318,230.1
683,225,20,0.8889,0.0,27.1
685,32,2,0.875,0.0,0.0
687,97,12,0.8969,0.0309,0.3
692,60,11,0.8333,0.1333,0.4
695,43,8,0.7674,0.0698,0.0
698,2473,178,0.8734,0.0239,251.1
699,57,10,0.6842,0.1404,7.0
700,160,18,0.9375,0.025,14.5
702,411,38,0.8783,0.0243,63.0
708,293,15,0.785,0.0034,11.0
716,101,11,0.9109,0.0495,3.9
717,69,12,0.8841,0.0725,0.1
718,328,27,0.8598,0.0152,112.0
720,940,55,0.8457,0.0096,78.9
723,503,62,0.7495,0.1074,73.9
726,241,27,0.8672,0.0083,28.2
728,56,11,0.9107,0.0357,0.1
729,219,15,0.9269,0.0046,31.0
733,92,17,0.9022,0.0217,8.0
735,325,45,0.9262,0.0246,0.1
740,33,3,0.697,0.0606,0.0
742,40,7,0.7,0.3,0.0
743,73,8,0.8356,0.1507,7.0
745,132,17,0.6515,0.2121,104.0
748,78,12,0.8974,0.0128,0.0
749,117,15,0.9402,0.0085,0.0
752,32,6,0.9688,0.0,0.0
756,56,3,0.9643,0.0,45.9
758,114,38,0.4474,0.3947,31.4
759,99,4,0.9495,0.0,0.0
760,39,10,0.7179,0.0769,0.0
761,72,6,0.9306,0.0,0.0
762,42,11,0.881,0.119,0.0
763,697,47,0.736,0.1234,46.0
766,47,5,0.8936,0.0213,0.0
769,172,14,0.8256,0.0349,52.8
771,131,15,0.8855,0.0076,10.3
773,56,14,0.8036,0.0536,0.0
780,58,12,0.6897,0.1724,35.0
787,36,8,0.7222,0.0556,7.0
788,520,44,0.8673,0.0288,9.1
790,32,3,0.75,0.25,0.0
792,82,11,0.7683,0.0366,42.0
793,1095,51,0.8311,0.0457,384.0
796,103,9,0.9612,0.0,2.0
797,774,41,0.7855,0.0995,391.0
798,148,15,0.7838,0.0203,10.1
799,47,7,0.4681,0.4681,36.0
800,152,10,0.8882,0.0724,91.0
806,1565,135,0.8767,0.0396,15.1
812,52,13,0.4615,0.4038,18.0
814,56,5,0.9286,0.0,0.0
816,125,22,0.816,0.04,89.8
817,158,21,0.8924,0.0696,21.0
819,48,7,0.9792,0.0,0.0
821,71,23,0.8028,0.1268,7.4
827,1830,92,0.7426,0.1137,46.0
834,109,9,0.9266,0.0092,9.8
839,56,6,0.8929,0.0536,98.2
840,89,20,0.9213,0.0112,45.9
843,629,49,0.7409,0.1908,49.0
844,270,31,0.7593,0.0407,127.9
851,93,15,0.9355,0.0108,0.0
853,32,8,0.875,0.0,0.0
854,40,5,1.0,0.0,0.0
856,51,6,0.9608,0.0,0.0
859,46,10,0.8261,0.0217,0.0
860,77,6,0.2338,0.7013,14.0
866,348,29,0.8851,0.0402,56.0
869,1236,87,0.8964,0.0129,62.7
878,140,15,0.9286,0.0143,129.2
887,237,29,0.8861,0.0506,33.9
894,209,25,0.8373,0.0574,53.0
895,47,7,0.7021,0.0638,0.0
904,60,10,0.9167,0.0333,11.3
907,1542,39,0.8599,0.0182,365.2
908,200,47,0.765,0.09,97.1
913,236,27,0.9619,0.0042,42.0
918,47,9,0.9574,0.0,0.0
919,3318,203,0.8252,0.0503,109.0
921,44,7,0.0909,0.7045,8.7
924,59,10,0.8983,0.0169,0.0
927,269,32,0.9071,0.0558,57.0
934,269,32,0.9257,0.0595,23.8
935,181,9,0.674,0.2099,13.8
945,4491,87,0.7303,0.0405,249.0
947,268,39,0.903,0.0261,83.0
948,210,16,0.8857,0.0429,182.1
956,104,16,0.9712,0.0192,0.0
958,156,17,0.7179,0.25,2.7
960,773,45,0.8564,0.0207,372.5
962,74,5,0.8919,0.027,0.0
963,54,7,0.8148,0.1111,30.9
968,1234,60,0.8655,0.0632,423.0
969,38,6,0.8421,0.0526,0.0
972,218,29,0.922,0.0046,16.4
974,404,32,0.8936,0.047,22.0
979,349,39,0.8052,0.0172,70.8
981,101,16,0.9406,0.0099,14.2
983,248,11,0.9395,0.0,37.0
987,60,19,0.8333,0.0833,1.9
992,47,5,0.9149,0.0,0.0
995,32,3,0.9062,0.0,0.1
999,347,30,0.83,0.0375,252.9
1001,103,11,0.7282,0.1359,249.5
1002,31,13,0.7419,0.0645,0.0
1006,229,32,0.9127,0.0218,340.8
1007,65,12,0.9231,0.0154,0.0
1009,746,43,0.8298,0.059,63.6
1010,797,27,0.7854,0.0652,119.8
1011,103,17,0.7379,0.1553,12.9
1012,482,70,0.7241,0.1058,9.2
1014,207,18,0.8696,0.058,263.0
1020,642,40,0.729,0.053,210.0
1024,43,7,0.814,0.1163,0.1
1034,66,10,0.9091,0.0303,0.0
1037,408,25,0.7647,0.0809,125.2
1038,243,35,0.7243,0.1276,211.0
1042,176,12,0.7898,0.125,42.8
1043,138,18,0.8188,0.0435,19.3
1044,30,8,0.7333,0.0667,5.7
1045,52,11,0.8269,0.0962,0.0
1050,60,5,0.55,0.2833,0.0
1055,139,14,0.8345,0.0216,32.0
1057,152,7,0.9671,0.0,27.1
1059,782,34,0.8964,0.0166,97.5
1066,251,23,0.757,0.1076,14.0
1072,44,7,0.7727,0.0455,14.7
1073,594,16,0.8468,0.0118,50.0
1074,3011,132,0.7645,0.1043,126.9
1077,258,20,0.7054,0.1395,148.1
1078,138,14,0.942,0.0072,0.0
1084,77,11,0.4675,0.2468,13.9
1086,49,8,0.8367,0.0816,59.8
1091,96,24,0.8958,0.0,0.0
1092,366,44,0.8224,0.0984,56.0
1095,137,13,0.8978,0.0146,35.0
1104,159,22,0.7799,0.0692,215.8
1106,40,8,0.9,0.0,0.0
1107,165,10,0.8,0.1212,289.0
1113,643,55,0.9191,0.0047,131.8
1116,263,23,0.9011,0.0304,15.0
1126,82,19,0.9268,0.0122,0.0
1131,68,4,0.8529,0.0,14.4
1132,60,9,0.85,0.05,34.9
1145,117,13,0.8462,0.1026,0.0
1148,101,18,0.8515,0.1089,23.9
1156,572,84,0.8514,0.0647,51.1
1157,62,6,0.9677,0.0,1.0
1160,120,19,0.8083,0.1,3.0
1162,49,9,0.8367,0.102,0.1
1163,251,19,0.8924,0.0438,43.5
1167,40,4,0.75,0.2,0.0
1168,899,74,0.8354,0.0812,208.0
1172,541,34,0.8909,0.037,194.0
1179,48,6,0.9167,0.0,0.0
1180,195,21,0.841,0.0359,28.0
1182,221,19,0.8733,0.009,0.0
1185,80,6,0.9625,0.0,201.3
1187,44,6,0.6591,0.0455,0.0
1190,545,58,0.6697,0.1339,188.2
1195,160,19,0.8938,0.0438,63.0
1196,49,7,0.9388,0.0,0.0
1197,911,40,0.7223,0.1196,318.2
1198,80,12,0.8875,0.0,0.0
1204,60,6,0.8,0.0667,7.3
1206,75,4,0.7467,0.0133,0.0
1209,416,50,0.8654,0.0072,265.2
1211,104,13,0.8846,0.0481,14.1
1212,168,16,0.8869,0.0417,12.0
1215,56,6,0.9821,0.0,10.4
1219,51,4,0.9608,0.0196,0.0
1222,40,11,0.35,0.575,0.0
1223,35,5,0.9143,0.0286,6.8
1224,128,16,0.8672,0.0625,15.0
1226,856,73,0.9311,0.0164,105.9
1229,78,12,0.7949,0.0897,97.2
1230,40,10,0.85,0.025,0.0
1232,156,15,0.8397,0.1026,99.0
1235,107,2,0.8505,0.028,0.0
1236,256,9,0.957,0.0,52.6
1238,240,25,0.8208,0.0208,7.2
1241,188,29,0.7713,0.1436,7.0
1243,149,16,0.8725,0.0,0.0
1247,370,34,0.9,0.0405,42.0
1257,138,10,0.8913,0.0072,0.1
1262,49,7,0.5102,0.4694,63.0
1265,43,12,0.8605,0.0698,0.0
1266,36,5,0.6389,0.2778,42.0
1267,1254,84,0.7472,0.1148,107.9
1268,201,27,0.8657,0.0199,253.0
1272,134,19,0.8433,0.0448,60.0
1274,306,17,0.5,0.4281,48.9
1277,32,8,1.0,0.0,0.0
1284,203,20,0.8916,0.0394,19.0
1285,56,12,0.9464,0.0179,0.0
1291,364,40,0.8132,0.0495,124.3
1295,3422,128,0.7726,0.052,330.0
1297,50,5,0.92,0.02,0.0
1301,203,21,0.8325,0.0394,70.0
1303,74,10,0.9189,0.0,14.0
1311,39,9,0.8205,0.1282,0.0
1312,652,53,0.9018,0.0307,23.5
1317,56,3,0.8929,0.0,0.0
1323,91,11,0.8571,0.033,4.1
1328,41,6,0.8537,0.0244,0.0
1331,32,4,0.8438,0.0312,4.0
1334,1795,116,0.8412,0.0529,307.9
1335,51,6,0.9412,0.0,0.0
1337,40,5,0.95,0.0,0.0
1341,129,21,0.8527,0.093,1.0
1347,54,7,0.8889,0.037,30.6
1350,96,7,0.8438,0.0208,63.4
1351,516,41,0.8973,0.0678,64.1
1358,81,9,0.8395,0.0,12.0
1367,34,6,0.8529,0.0,0.0
1368,2513,144,0.7632,0.0752,665.0
1370,114,12,0.8333,0.0789,23.1
1372,43,15,0.6744,0.0233,0.0
1374,140,13,0.8786,0.0571,156.8
1377,1302,69,0.9163,0.0108,120.6
1378,944,62,0.8167,0.0805,302.3
1385,162,10,0.6667,0.1667,27.2
1386,573,83,0.9232,0.0175,51.4
1388,219,19,0.7306,0.1096,49.0
1395,91,12,0.8901,0.0659,0.8
1396,428,31,0.8248,0.0607,218.1
1397,67,3,0.6418,0.0149,0.0
1402,115,20,0.9652,0.0348,1.6
1404,47,6,0.6809,0.1277,0.0
1405,109,15,0.7615,0.156,2.1
1407,813,47,0.6999,0.1402,28.5
1415,78,14,0.8846,0.0385,0.0
1416,1006,64,0.9245,0.0209,83.8
1418,68,11,0.6618,0.2794,52.0
1420,689,59,0.7736,0.0987,218.1
1422,666,50,0.8874,0.0165,40.8
1427,1567,56,0.8054,0.0459,126.0
1428,51,14,0.5098,0.0392,0.0
1430,58,1,0.7586,0.0,0.0
1435,1179,99,0.9067,0.0433,56.9
1436,162,23,0.858,0.0679,25.0
1442,97,6,0.9072,0.0206,0.0
1443,56,7,1.0,0.0,0.0
1446,361,28,0.8864,0.0416,89.0
1449,40,10,0.875,0.1,0.0
1452,56,10,0.9286,0.0179,1.0
1454,367,26,0.7984,0.0599,105.0
1455,48,6,0.8542,0.0,0.0
1456,727,51,0.7359,0.11,214.8
1458,40,7,0.8,0.175,28.0
1466,80,10,0.925,0.0125,0.0
1470,436,32,0.8899,0.0252,85.1
1476,818,66,0.8289,0.0746,110.5
1479,122,10,0.6721,0.2295,43.8
1481,111,10,0.7928,0.036,3.7
1482,429,40,0.8718,0.0536,11.3
1486,32,2,0.9375,0.0,0.0
1487,109,15,0.8257,0.0275,2.3
1496,149,21,0.8792,0.0268,1.3
1497,138,25,0.9275,0.0217,0.1
1498,233,17,0.8627,0.0258,8.9
1499,77,21,0.5065,0.3247,0.0
1503,559,61,0.9123,0.0125,205.9
1509,31,7,0.8387,0.0323,19.1
1513,244,23,0.5574,0.2254,134.5
1527,387,36,0.7209,0.0517,91.1
1530,73,7,0.7397,0.1233,2.0
1531,34,1,1.0,0.0,2.5
1532,321,30,0.9502,0.0062,7.3
1533,56,13,0.9821,0.0179,0.0
1535,50,12,0.88,0.0,7.0
1536,258,14,0.7946,0.1202,49.9
1537,1176,124,0.8495,0.0323,20.9
1538,356,34,0.8652,0.0309,113.2
1540,70,15,0.8857,0.0143,33.6
1541,57,6,0.7719,0.1754,8.0
1544,75,13,0.72,0.2533,14.0
1547,34,10,0.7647,0.1176,0.0
1548,234,26,0.9231,0.0043,22.3
1552,402,37,0.7363,0.0398,91.0
1554,32,2,0.8438,0.0938,0.0
1558,39,7,0.9744,0.0256,0.0
1560,451,40,0.9202,0.0244,13.4
1565,241,33,0.8091,0.1162,130.9
1572,55,7,0.7636,0.0909,42.0
1573,32,4,0.9688,0.0,0.0
1578,119,16,0.4622,0.4034,82.4
1589,32,7,0.875,0.0,0.0
1590,524,59,0.7748,0.0802,42.8
1591,422,36,0.9076,0.019,363.9
1593,207,28,0.7391,0.0725,14.0
1594,134,13,0.8881,0.0448,6.7
1596,31,4,0.8387,0.0323,0.0
1598,136,15,0.4853,0.0221,0.0
1600,952,63,0.8645,0.0431,55.1
1602,72,8,0.9306,0.0,217.0
1603,52,5,0.9038,0.0577,0.9
1604,264,25,0.8712,0.0114,35.0
1606,737,43,0.8915,0.0068,385.1
1613,393,16,0.7048,0.1679,79.0
1614,40,4,0.825,0.025,0.0
1617,33,4,0.7879,0.1212,3.8
1618,57,20,0.8246,0.1228,0.0
1621,46,3,0.8478,0.0,0.0
1622,40,3,0.75,0.15,0.0
1624,179,22,0.9441,0.0,0.2
1632,329,31,0.9605,0.0,8.1
1635,48,6,0.7917,0.125,0.0
1639,161,17,0.5714,0.1491,84.0
1640,37,3,0.7297,0.1892,0.0
1642,682,71,0.8622,0.0205,306.0
1645,1686,142,0.8493,0.0338,2.6
1649,32,3,0.8125,0.0312,0.0
1652,1530,81,0.7634,0.0412,336.8
1657,34,3,0.7941,0.0,0.0
1660,288,24,0.8646,0.0035,14.4
1661,536,34,0.8153,0.069,50.1
1664,32,2,0.9062,0.0625,0.0
1667,62,8,0.9516,0.0,0.7
1672,90,10,0.9667,0.0,0.0
1675,112,22,0.6964,0.1875,21.0
1678,108,14,0.9074,0.0185,7.0
1679,553,59,0.906,0.0145,1.2
1690,51,9,0.8627,0.0196,20.4
1697,122,12,0.918,0.041,0.0
1708,87,14,0.9425,0.0115,28.0
1723,466,39,0.7983,0.0236,98.1
1724,33,5,0.7273,0.0303,0.0
1727,64,5,0.9375,0.0156,0.0
1733,417,33,0.8106,0.1319,37.2
1739,1369,123,0.8904,0.0088,9.8
1743,49,7,0.8163,0.0612,0.9
1747,80,17,0.875,0.075,0.0
1752,54,16,0.7963,0.0741,0.0
1758,30,10,0.4667,0.4667,0.0
1761,47,10,0.8298,0.0638,3.2
1764,79,13,0.9494,0.0,0.0
1766,66,12,0.9091,0.0606,0.0
1767,160,14,0.8688,0.0812,0.0
1768,47,10,0.766,0.0,0.0
1772,133,18,0.9323,0.0376,7.0
1773,180,18,0.8611,0.0,3.1
1777,32,10,0.875,0.125,0.0
1780,124,15,0.9113,0.0242,7.0
1787,496,33,0.8206,0.0746,43.4
1788,88,15,0.8182,0.0568,35.0
1793,53,3,0.3585,0.4906,93.0
1794,266,24,0.812,0.0902,210.0
1796,104,14,0.6346,0.2692,21.0
1800,133,9,0.9173,0.0226,0.0
1801,35,6,0.9143,0.0286,0.0
1803,719,71,0.8873,0.0389,51.3
1809,286,30,0.8042,0.049,231.1
1813,84,7,0.8095,0.0,0.0
1814,964,65,0.9056,0.0239,203.1
1816,156,13,0.8462,0.0256,21.0
1818,32,3,0.9062,0.0938,7.0
1820,2534,200,0.5099,0.2849,105.0
1821,110,13,0.8545,0.0091,28.0
1822,120,9,0.75,0.1833,16.5
1830,1915,61,0.6235,0.1253,99.9
1834,69,11,0.7826,0.087,44.2
1836,45,7,0.7556,0.1556,7.0
1843,43,6,0.8837,0.0233,0.0
1846,371,35,0.6226,0.1509,55.0
1862,116,13,0.9397,0.0086,3.8
1863,96,12,0.9062,0.0521,63.0
1864,709,29,0.9647,0.0141,72.3
1869,572,31,0.8059,0.0664,8.2
1871,192,16,0.8333,0.0417,4.1
1872,145,12,0.8552,0.0483,35.0
1873,452,25,0.6858,0.2168,98.0
1875,61,13,0.7705,0.1148,84.0
1879,42,7,0.9048,0.0476,0.0
1880,128,16,0.9219,0.0234,91.0
1882,223,31,0.8744,0.0628,108.0
1884,75,14,0.84,0.0933,35.0
1886,71,16,0.6197,0.2535,0.0
1889,49,9,0.8367,0.0408,55.7
1890,41,4,0.8537,0.0732,7.2
1892,42,6,0.7857,0.0952,0.0
1898,354,29,0.7938,0.0198,49.0
1900,372,32,0.8952,0.0215,76.8
1902,33,6,0.8485,0.1515,0.0
1906,4315,291,0.9036,0.0389,273.2
1907,239,39,0.8159,0.0795,46.4
1917,224,17,0.8705,0.0045,28.0
1923,388,42,0.799,0.116,104.1
1924,34,3,0.9412,0.0,0.0
1930,99,12,0.8384,0.0202,0.0
1935,387,40,0.832,0.1008,51.3
1938,37,4,0.9189,0.027,0.0
1940,542,38,0.8782,0.0627,53.6
1945,37,10,0.8649,0.0,0.0
1950,80,13,0.8875,0.025,0.0
1957,99,9,0.8283,0.0808,0.0
1963,36,7,0.9722,0.0,0.0
1964,100,17,0.76,0.11,57.0
1965,327,42,0.7003,0.208,23.9
1966,605,44,0.8066,0.0992,46.0
1968,211,22,0.9242,0.0284,35.2
1971,56,4,0.2679,0.6607,42.0
1974,52,9,0.8654,0.0577,0.0
1977,45,12,0.8889,0.0222,7.0
1978,65,8,0.7231,0.1385,129.2
1982,200,16,0.715,0.115,196.1
1985,214,26,0.8551,0.0514,77.0
1987,126,14,0.8175,0.119,14.0
1988,61,9,0.8689,0.0492,1.9
1993,320,27,0.8438,0.0875,60.0
1999,144,15,0.7708,0.1597,52.2
2002,574,23,0.9146,0.0035,140.2
2003,557,43,0.8348,0.0646,96.6
2006,36,4,0.6944,0.2222,0.0
2012,152,21,0.7829,0.1447,39.6
2015,81,16,0.9506,0.0123,0.0
2016,31,11,0.8387,0.0645,0.0
2017,81,16,0.8765,0.0,0.1
2028,94,10,0.9043,0.0106,0.3
2035,119,10,0.6303,0.2521,43.0
2039,194,11,0.9072,0.0722,84.0
2041,92,9,0.8804,0.0,12.0
2046,40,5,0.875,0.0,0.0
2049,47,11,0.9149,0.0213,16.8
2051,36,16,0.7222,0.0833,14.0
2055,486,33,0.8786,0.0453,16.0
2060,205,24,0.9024,0.0488,29.0
2061,34,4,0.8529,0.0,7.0
2063,359,40,0.7103,0.2117,21.2
2072,40,4,0.975,0.0,0.0
2073,1172,68,0.7901,0.0708,36.3
2075,55,6,0.8364,0.0,42.0
2077,35,13,0.5714,0.4,112.0
2081,34,17,0.8529,0.1176,7.1
2082,33,4,0.9091,0.0303,0.0
2084,153,9,0.8562,0.0458,94.1
2096,280,12,0.8464,0.1107,280.2
2106,30,8,0.7333,0.1,0.0
2110,753,66,0.8101,0.0757,130.8
2113,35,6,0.8857,0.0286,0.0
2123,677,42,0.8922,0.0369,246.0
2135,56,6,0.9821,0.0,0.0
2138,40,1,0.8,0.0,0.0
2144,106,15,0.934,0.0094,0.0
2145,183,27,0.7978,0.1421,56.0
2146,67,7,0.9552,0.0299,0.8
2147,244,26,0.7951,0.0164,11.0
2149,48,8,0.9375,0.0208,0.0
2156,81,17,0.8395,0.1235,0.0
2159,30,6,0.9333,0.0333,0.0
2163,235,36,0.817,0.0851,273.0
2164,79,5,0.7215,0.0633,8.7
2169,437,55,0.5103,0.3432,15.1
2171,283,27,0.8516,0.0424,21.9
2173,650,82,0.8662,0.0231,63.8
2175,85,12,0.7882,0.1294,147.1
2176,64,13,0.8906,0.0312,0.0
2178,782,57,0.7788,0.1061,252.9
2187,260,33,0.7346,0.1,54.2
2188,866,39,0.7667,0.0774,23.0
2190,49,6,0.9388,0.0204,0.0
2195,120,14,0.7833,0.1333,261.6
2200,298,17,0.8591,0.0268,49.0
2201,376,38,0.891,0.0239,31.2
2204,56,8,0.9286,0.0,0.0
2206,46,8,0.9565,0.0,0.0
2207,1469,140,0.8557,0.0361,211.9
2209,86,11,0.9302,0.0349,7.0
